SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.225375413,3710.434599,0.177736586,2904.832474,0.29029501,2680.640954,0.423455447,2979.857658,0.840982452,1524.46044,0.530964071,3385.107607,,,0.921648238,4702.450771,0.804953117,3100.509856,0.884451707,6643.946188,,,,,0.665791202,4846.511628
0.227507378,3757.480881,0.182004706,2957.748544,0.293851477,2727.678857,0.430571375,3044.521681,0.852374879,1559.687543,0.540224533,3373.288428,,,0.932776679,4754.941452,0.822424965,3034.759104,0.915849949,6651.121076,,,,,0.68351937,4860.465116
0.231777893,3786.867525,0.186982683,3034.18985,0.295985238,2757.078071,0.437682514,3156.244557,0.85878454,1565.532192,0.548058697,3379.124697,,,0.940713242,4676.097597,0.830369413,3030.346037,0.938209179,6658.295964,,,,,0.684832567,4860.465116
0.234625102,3804.497836,0.189114648,3081.236133,0.297406747,2786.481473,0.443372144,3238.56403,0.864483148,1559.616318,0.557319159,3367.305518,,,0.951305067,4662.916372,0.839912583,3117.869929,0.956760378,6701.345291,,,,,0.712409718,4855.813953
0.238898608,3804.472698,0.191955872,3157.690008,0.303105355,2780.565599,0.451196732,3338.518003,0.872313721,1600.746726,0.56300819,3455.507347,,,0.960321822,4781.090554,0.849979848,3152.852121,0.968652533,6722.869955,,,,,0.736047275,4809.302326
0.243883169,3816.208083,0.194089034,3192.971578,0.308092909,2762.889202,0.459731176,3461.997212,0.878723981,1600.709019,0.568699615,3520.179751,,,0.971969257,4732.878437,0.862669444,2942.638944,0.972933742,6730.044843,,,,,0.761654629,4888.372093
0.247440834,3851.481273,0.199776269,3298.820476,0.309519207,2745.233753,0.466843512,3561.955375,0.885136037,1583.024242,0.574386252,3631.911006,,,0.983094453,4754.721147,0.880166801,3117.693684,0.984349733,6758.744395,,,,,0.781352594,4911.627907
0.251000294,3869.107394,0.201910629,3322.337333,0.313084652,2704.036309,0.476802459,3685.426204,0.889410142,1577.116748,0.578649584,3731.885927,,,0.991044002,4798.469178,0.892339259,3025.696432,0.99291258,6765.919283,,,,,0.796454366,4916.27907
0.253846306,3898.502417,0.20333154,3357.623092,0.313796903,2704.03212,0.490325056,3785.34666,0.893683649,1577.091609,0.583624568,3837.739016,,,1.000582534,4842.210253,0.899768424,3157.012416,0.996718479,6765.919283,,,,,0.818778726,4958.139535
0.258827276,3945.531941,0.205463505,3404.669375,0.317354568,2739.30531,0.50599099,3820.548625,0.897955959,1588.831184,0.590024653,3937.701368,,,,,0.913540532,3165.708686,,,,,,,0.835193697,5000
