SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0895,59.19733423,0.0895,48.52363076,,,,,0.532932,115.0474,,,,
0.09,87.07235956,0.09,44.76598015,,,,,0.535926,129.21703,,,,
0.0905,77.02616777,0.0905,41.46154493,,,,,0.53892,129.17159,,,,
0.091,62.49939714,0.091,43.50627013,,,,,0.541914,128.30373,,,,
0.0915,17.318288,0.0915,44.07282231,,,,,0.544908,132.23833,,,,
0.092,55.77716278,0.092,42.95062362,,,,,0.547902,121.57483,,,,
0.0925,58.32088425,0.0925,47.53073984,,,,,0.550896,129.72075,,,,
0.093,98.88868262,0.093,45.04937201,,,,,0.55389,127.98845,,,,
0.0935,113.6557716,0.0935,46.8371911,,,,,0.556884,134.54063,,,,
0.094,60.27098335,0.094,44.95541413,,,,,0.559878,126.772224,,,,
0.0945,27.93479316,0.0945,43.11884111,,,,,0.562872,129.71089,,,,
0.095,84.98002325,0.095,45.54266483,,,,,0.565866,132.41568,,,,
0.0955,30.76950918,0.0955,47.78082188,,,,,0.56886,124.27733,,,,
0.096,118.4726008,0.096,47.52115303,,,,,0.571854,128.5614,,,,
0.0965,50.32657043,0.0965,42.94035126,,,,,0.574848,132.50984,,,,
0.097,64.46470642,0.097,46.21168953,,,,,0.577842,117.14389,,,,
0.0975,84.51372439,0.0975,43.51269809,,,,,0.580836,129.86,,,,
0.098,75.04973026,0.098,46.25905229,,,,,0.58383,124.65539,,,,
0.0985,71.93609732,0.0985,48.08177871,,,,,0.586824,125.966835,,,,
0.099,55.58968943,0.099,47.16266996,,,,,0.589818,129.15125,,,,
0.0995,45.1603266,0.0995,48.64689277,,,,,0.592812,130.984,,,,
0.1,95.14758856,0.1,48.45343539,,,,,0.595806,137.65138,,,,
0.1005,114.4496076,0.1005,50.60436675,,,,,0.5988,128.85966,,,,
0.101,51.72046864,0.101,45.99986899,,,,,0.601794,125.10917,,,,
0.1015,72.0064971,0.1015,47.80207741,,,,,0.604788,125.09293,,,,
0.102,88.6088503,0.102,46.03407898,,,,,0.607782,133.16267,,,,
0.1025,121.2985143,0.1025,49.09510953,,,,,0.610776,116.3521,,,,
0.103,67.9267144,0.103,47.95221343,,,,,0.61377,60.842022,,,,
0.1035,101.8953048,0.1035,49.45477709,,,,,0.616764,131.27759,,,,
0.104,55.56703196,0.104,45.79005205,,,,,0.619758,104.104904,,,,
0.1045,101.8404086,0.1045,46.08965843,,,,,0.622752,113.323685,,,,
