SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.124,8210.681059,0.124,8734.565005,,,,,,,,,,
0.1245,8234.996469,0.1245,9377.536971,,,,,,,,,,
0.125,8337.965817,0.125,8978.605333,,,,,,,,,,
0.1255,8337.534531,0.1255,8677.370578,,,,,,,,,,
0.126,8303.498839,0.126,9224.567721,,,,,,,,,,
0.1265,8215.024829,0.1265,8976.272373,,,,,,,,,,
0.127,8339.058096,0.127,9064.596145,,,,,,,,,,
0.1275,8393.492256,0.1275,9070.99396,,,,,,,,,,
0.128,8353.594139,0.128,8971.503428,,,,,,,,,,
0.1285,8291.739994,0.1285,9126.479135,,,,,,,,,,
